,Top-Left,Bottom-Right,Id
0,"[290, 85]","[435, 147]",0
1,"[563, 82]","[730, 147]",1
2,"[744, 92]","[940, 140]",2
3,"[1163, 92]","[1184, 147]",3
4,"[1218, 79]","[1344, 157]",4
5,"[1385, 92]","[1511, 144]",5
6,"[1646, 79]","[1813, 154]",6
7,"[1834, 79]","[1897, 140]",7
8,"[1907, 82]","[1994, 137]",8
9,"[2127, 89]","[2195, 144]",9
10,"[406, 208]","[488, 280]",10
11,"[508, 212]","[679, 287]",11
12,"[305, 287]","[348, 352]",12
13,"[384, 287]","[537, 352]",13
14,"[573, 294]","[655, 366]",14
15,"[696, 294]","[807, 359]",15
16,"[844, 304]","[906, 362]",16
17,"[305, 369]","[440, 431]",17
18,"[462, 373]","[628, 438]",18
19,"[650, 373]","[699, 441]",19
20,"[718, 376]","[766, 451]",20
21,"[788, 383]","[831, 451]",21
22,"[853, 379]","[1078, 455]",22
23,"[1100, 373]","[1146, 438]",23
24,"[305, 455]","[408, 520]",24
25,"[433, 458]","[621, 523]",25
26,"[648, 458]","[711, 516]",26
27,"[732, 458]","[829, 526]",27
28,"[851, 461]","[935, 516]",28
29,"[957, 468]","[1020, 526]",29
30,"[1042, 461]","[1124, 533]",30
31,"[1143, 461]","[1189, 537]",31
32,"[312, 537]","[440, 602]",32
33,"[481, 537]","[619, 602]",33
34,"[660, 540]","[836, 605]",34
35,"[851, 537]","[943, 602]",35
36,"[981, 543]","[1107, 602]",36
37,"[1134, 540]","[1194, 598]",37
38,"[1032, 308]","[1071, 359]",38
39,"[1107, 297]","[1189, 352]",39
40,"[1385, 304]","[1462, 355]",40
41,"[1477, 291]","[1520, 359]",41
42,"[1535, 291]","[1581, 355]",42
43,"[1593, 291]","[1704, 359]",43
44,"[1723, 304]","[1757, 362]",44
45,"[1781, 291]","[1900, 359]",45
46,"[1917, 291]","[2011, 355]",46
47,"[2025, 304]","[2098, 359]",47
48,"[2115, 291]","[2202, 355]",48
49,"[2224, 291]","[2277, 352]",49
50,"[1385, 369]","[1544, 444]",50
51,"[1564, 373]","[1658, 438]",51
52,"[1680, 373]","[1772, 438]",52
53,"[1796, 373]","[1888, 438]",53
54,"[1912, 376]","[1975, 434]",54
55,"[2001, 390]","[2158, 431]",55
56,"[2185, 376]","[2219, 441]",56
57,"[2253, 390]","[2277, 431]",57
58,"[1387, 537]","[1448, 598]",58
59,"[1453, 537]","[1535, 608]",59
60,"[1542, 533]","[1586, 598]",60
61,"[1590, 540]","[1673, 602]",61
62,"[1677, 540]","[1745, 598]",62
63,"[1755, 537]","[1873, 602]",63
64,"[1880, 533]","[1975, 598]",64
65,"[1984, 547]","[2054, 602]",65
66,"[2064, 533]","[2270, 595]",66
67,"[1385, 608]","[1484, 687]",67
68,"[1499, 612]","[1600, 677]",68
69,"[1624, 619]","[1760, 684]",69
70,"[1779, 615]","[1871, 680]",70
71,"[1888, 622]","[1958, 694]",71
72,"[1977, 615]","[2038, 677]",72
73,"[2064, 619]","[2183, 673]",73
74,"[2209, 605]","[2279, 677]",74
75,"[1397, 697]","[1537, 759]",75
76,"[1559, 714]","[1716, 766]",76
77,"[1735, 697]","[1781, 762]",77
78,"[1796, 694]","[1873, 769]",78
79,"[1885, 694]","[1929, 762]",79
80,"[1387, 455]","[1457, 533]",80
81,"[1465, 468]","[1564, 533]",81
82,"[1578, 472]","[1653, 513]",82
83,"[1668, 458]","[1699, 526]",83
84,"[1801, 455]","[1934, 516]",84
85,"[1948, 472]","[2098, 513]",85
86,"[2110, 455]","[2272, 516]",86
87,"[307, 615]","[457, 677]",87
88,"[411, 793]","[556, 854]",88
89,"[580, 796]","[633, 861]",89
90,"[662, 796]","[822, 872]",90
91,"[848, 796]","[894, 861]",91
92,"[909, 796]","[1010, 875]",92
93,"[1030, 800]","[1076, 865]",93
94,"[1097, 813]","[1196, 865]",94
95,"[314, 875]","[498, 926]",95
96,"[539, 892]","[631, 933]",96
97,"[670, 878]","[827, 943]",97
98,"[868, 878]","[914, 940]",98
99,"[947, 875]","[1015, 947]",99
