Index,Gender,Marital status,Age,Education,Income,Occupation,Settlement size
0,0,0,67,2,124670,1,2
1,1,1,22,1,150773,1,2
2,0,0,49,1,89210,0,0
3,0,0,45,1,171565,1,1
4,0,0,53,1,149031,1,1
5,0,0,35,1,144848,0,0
6,0,0,53,1,156495,1,1
7,0,0,35,1,193621,2,1
8,0,1,61,2,151591,0,0
9,0,1,28,1,174646,2,0
10,1,1,25,1,108469,1,0
11,1,1,24,1,127596,1,0
12,1,1,22,1,108687,1,2
13,0,0,60,2,89374,0,0
14,1,1,28,1,102899,1,1
15,1,1,32,1,88428,0,0
16,0,0,53,1,125550,1,0
17,0,0,25,0,157434,1,2
18,1,1,44,2,261952,2,2
19,0,0,31,0,144657,1,1
20,0,0,48,1,118777,1,1
21,0,0,44,1,147511,1,1
22,0,0,48,1,89804,0,0
23,0,0,44,1,134918,1,2
24,0,1,26,1,103667,1,2
25,0,0,36,1,71909,0,0
26,0,1,39,1,68264,0,0
27,1,1,42,2,163025,1,1
28,0,0,34,1,119307,1,1
29,0,0,63,2,175882,1,0
30,0,1,36,1,159646,1,1
31,0,0,27,0,120131,1,1
32,0,0,30,0,162745,1,2
33,0,0,57,2,87605,0,0
34,1,1,33,1,155569,2,1
35,0,0,25,0,104505,0,0
36,0,0,31,0,143385,1,2
37,0,0,37,1,127676,1,1
38,0,0,37,1,119276,1,1
39,0,0,24,0,92542,1,1
40,0,0,30,0,163329,2,1
41,0,1,26,1,130921,1,0
42,0,0,44,1,133658,0,0
43,0,1,24,1,155104,1,1
44,1,1,58,2,142335,0,1
45,1,1,35,1,138387,2,1
46,0,0,39,1,140182,1,0
47,1,1,23,1,65421,0,0
48,0,0,39,1,130500,0,0
49,1,1,28,1,122831,1,0
50,0,0,29,0,84531,0,0
51,0,0,30,0,180196,2,2
52,0,0,25,0,92058,1,2
53,0,0,31,0,117158,1,0
54,0,0,57,2,135830,1,1
55,0,0,26,0,58258,0,0
56,0,0,52,1,202575,2,2
57,1,1,31,1,183657,1,1
58,1,1,23,1,152267,2,1
59,1,1,23,1,115240,0,0
60,0,1,27,1,106955,1,2
61,0,0,50,1,123641,1,1
62,0,0,61,2,166410,2,1
63,0,0,25,0,227385,1,2
64,1,1,26,1,118372,1,1
65,0,0,48,1,148115,1,1
66,1,1,29,1,111069,1,0
67,0,1,22,1,139780,1,0
68,0,0,37,1,106978,1,2
69,1,1,25,1,110019,1,2
70,1,1,30,1,169102,1,1
71,0,0,46,1,73703,0,0
72,0,0,51,1,141858,2,2
73,1,1,41,2,135959,0,0
74,0,0,40,1,140888,2,2
75,0,0,66,2,157299,2,2
76,0,0,34,1,125187,1,1
