g_guesser,g_noofmessage_median,g_firstmessagetime_median,g_lastmessagetime_median,g_rangemessagetime_median,g_pcgamesconfusion,g_entropy
10,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,25.367172,39.041594,0.0,0.0,0.0
14,2.0,12.98874,51.351317,38.362577,1.0,0.6931471805599453
26,3.5,20.6223455,64.718058,44.0957125,0.0,1.242453324894
40,3.0,30.339558,78.943003,48.60344500000001,0.0,1.0986122886681096
22,2.0,43.310757,58.8446475,15.533890499999998,0.0,0.5493061443340548
39,2.0,20.339757,36.734931,12.653512000000005,0.0,0.6931471805599453
78,1.0,19.0967705,33.9130605,0.0,0.1,0.0
73,3.0,33.466261,67.673243,30.487687500000003,0.0,1.0986122886681096
75,3.0,28.981178,82.60636,53.625182,0.0,1.0986122886681096
47,2.0,15.140042,34.895863,15.938878,0.0,0.6931471805599453
70,2.0,24.894038,104.567535,20.29489,0.0,0.6931471805599453
59,2.0,24.008261,34.6425755,11.366685,0.1,0.6931471805599453
68,3.0,14.56516,55.9175985,40.4107895,0.3,1.039720770839918
84,1.0,23.857026,23.857026,0.0,0.0,0.0
54,1.0,32.17945,48.9937255,0.0,0.0,0.0
98,3.0,22.44219,96.396174,73.953984,0.0,1.0986122886681096
96,3.0,19.796595,45.239358,27.755326000000004,0.0,1.0986122886681096
88,2.0,62.573677,80.9117535,18.3380765,0.0,0.5493061443340548
115,5.0,15.73647,59.926647,44.190177000000006,0.0,1.6094379124341005
97,2.0,15.431598,54.684014,41.391656,0.0,0.6931471805599453
108,1.0,21.211341,23.884791,0.0,0.1428571428571428,0.0
118,2.0,17.0184125,44.370696,22.048723,0.0,0.6931471805599453
110,2.0,13.84691,21.373479,7.526569,0.0,0.6931471805599453
124,1.0,24.5857195,34.229132,0.0,0.0,0.0
38,1.0,39.4639725,47.5077555,0.0,0.0,0.0
122,8.0,40.072968,115.538188,75.46522,0.0,1.945910149055313
126,4.0,12.840877,49.588692,35.783030000000004,0.0,1.3862943611198906
107,0.0,0.0,0.0,0.0,0.0,0.0
154,4.0,39.951189,109.1179715,41.252232,0.0,1.151292546497023
135,2.0,19.022859,94.207809,50.015425,0.0,0.6931471805599453
165,1.0,22.368163000000003,28.553771500000003,3.1042005,0.1111111111111111,0.3465735902799726
99,3.0,13.419434,27.388696,16.191304,0.0,1.0986122886681096
167,2.5,22.872973,43.343717,20.470744,0.0,0.5493061443340548
169,2.0,40.6992275,69.39818650000001,19.476145,0.0,0.6931471805599453
179,1.0,31.847088,31.847088,0.0,0.0,0.0
191,1.0,38.85268,78.709019,0.0,0.0,0.0
199,1.0,48.3690795,63.3121025,10.306893999999998,0.0,0.3465735902799726
192,2.0,24.765705,108.387876,24.864931,0.0,0.6931471805599453
193,3.5,38.403869,113.236007,63.916398,0.75,1.242453324894
204,2.0,24.93343,47.973526,24.788136,0.1111111111111111,0.6931471805599453
211,3.0,12.644685,38.17228,25.527595,0.0,1.0986122886681096
212,8.0,19.443385,104.245383,84.801998,0.0,2.079441541679836
242,2.0,15.1001865,23.682378,9.4906585,0.0,0.6931471805599453
243,2.0,25.126358,90.331944,35.829684,0.0,0.6931471805599453
224,1.0,38.310344,38.310344,0.0,0.0,0.0
239,3.0,23.68303,61.67913,31.436527500000004,0.0,1.0986122886681096
229,2.0,36.799106,95.979973,34.839067,0.0,0.6931471805599453
226,2.0,106.791254,115.006013,8.214759,0.0,0.6931471805599453
218,1.0,44.333757,54.876094,0.0,0.0,0.0
228,1.0,36.392389,44.961004,0.0,0.0,0.0
217,2.0,28.861111,85.104938,36.217731,0.0,0.6931471805599453
257,2.0,26.278183,46.022452,10.541996499999996,0.0,0.6931471805599453
278,1.0,27.2874425,33.766014,0.0,0.125,0.0
272,2.0,37.255331,40.49498,8.972043,0.0,0.6931471805599453
282,3.5,17.8944405,43.091291,22.544697,0.1,1.242453324894
296,2.0,18.828378,24.848353,6.019974999999999,0.0,0.6931471805599453
311,1.0,29.044436,44.196508,0.0,0.0,0.0
302,1.5,17.333152,39.825403,13.572536000000005,0.0,0.3465735902799726
319,2.0,21.533379,33.132672,2.083084999999997,0.0,0.6931471805599453
315,1.0,35.0417415,55.6668315,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0
344,1.0,34.793812,47.346134,0.0,0.0,0.0
335,3.0,18.57555,53.364075,40.921505,0.0,1.0986122886681096
326,0.0,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0,0.0,0.0
336,2.0,40.20202,70.132653,16.512946,0.0,0.6931471805599453
339,4.0,22.266729,63.508648,26.109115,0.2727272727272727,1.3862943611198906
355,3.0,17.711476,85.329378,48.743643,0.0,1.0986122886681096
349,0.0,33.6953105,50.4170715,16.721761,0.0,0.3465735902799726
379,0.0,0.0,0.0,0.0,0.0,0.0
354,2.0,28.008159,74.587451,8.709454000000001,0.4,0.6931471805599453
360,4.0,16.1512695,112.8568385,72.8418025,0.0,1.242453324894
372,2.0,35.153344,48.809897,11.005777000000002,0.0,0.6931471805599453
357,2.5,39.858998,62.540114,25.440384999999992,0.0,1.0986122886681096
382,4.0,18.273476,61.875722,35.306713,0.1333333333333333,1.3862943611198906
405,2.5,26.2965,43.757453,12.6737665,0.0,0.8958797346140275
393,6.0,36.047114,89.055498,53.008384,0.0,1.791759469228055
394,2.0,11.528396,34.226766,22.69837,0.0,0.6931471805599453
414,1.5,30.122675,39.8380195,2.496233000000001,0.0,0.3465735902799726
395,2.0,35.401399,52.844089,12.1099245,0.0,0.6931471805599453
406,1.0,36.552874,46.816397,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0,0.0,0.0
416,5.0,17.391398,109.662525,94.598103,0.0,1.6094379124341005
426,1.0,70.136876,70.136876,0.0,0.0,0.0
428,2.0,21.716343,41.256813,21.105801,0.0909090909090909,0.6931471805599453
431,0.0,0.0,0.0,0.0,0.0,0.0
432,1.0,25.415061,32.227454,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0
445,0.0,0.0,0.0,0.0,0.0,0.0
463,6.0,16.71909,114.690688,87.851415,0.2,1.791759469228055
466,2.0,14.712857,29.19135,9.478644,0.0,0.6931471805599453
501,0.0,0.0,0.0,0.0,0.0,0.0
489,3.0,10.652321,36.32077,10.546721,0.0,1.0986122886681096
476,1.5,10.7284255,37.334943,26.6065175,0.0,0.3465735902799726
491,2.0,31.399657,45.160252,9.038865,0.0,0.6931471805599453
504,1.5,24.97565,48.008175,21.55101,0.0,0.3465735902799726
505,0.0,0.0,0.0,0.0,0.0,0.0
